date,symbol,source,side,size_bucket,events,notional_sum,notional_p50,notional_max,spread_bps_at_event_mean,mid_ret_before_5s_bps,mid_ret_after_5s_bps,signed_mid_ret_after_5s_bps,mid_ret_before_30s_bps,mid_ret_after_30s_bps,signed_mid_ret_after_30s_bps,mid_ret_before_120s_bps,mid_ret_after_120s_bps,signed_mid_ret_after_120s_bps,mid_ret_before_300s_bps,mid_ret_after_300s_bps,signed_mid_ret_after_300s_bps,trade_notional_before_1s,trade_notional_after_1s,signed_trade_notional_before_1s,signed_trade_notional_after_1s,trade_notional_before_5s,trade_notional_after_5s,signed_trade_notional_before_5s,signed_trade_notional_after_5s,trade_notional_before_30s,trade_notional_after_30s,signed_trade_notional_before_30s,signed_trade_notional_after_30s
2025-12-04,btcusdt,bybit,buy,02_10k_100k,30.0,1057725.3026,26092.377,90564.6845,0.0296680525462139,5.463485746460718,0.6994713036857718,0.6994713036857718,14.929680856996956,-0.8723679799724432,-0.8723679799724432,24.71430949407953,-6.097662781019058,-6.097662781019058,36.35025604933488,-7.488926379596386,-7.488926379596386,2601152.8418657263,1370737.6573290746,256752.17568667667,345640.31096647755,10751429.51040773,5643076.196194831,3849689.376793155,1788181.8468432298,31821280.815810543,24869369.70207347,11258981.821766494,5604656.125757094
2025-12-04,btcusdt,bybit,buy,03_100k_1m,7.0,1827652.9119,145238.5789,778270.245,0.0476052050983717,8.039911133910243,2.3807851702954608,2.3807851702954608,18.46464721129924,4.687067263511315,4.687067263511315,31.48705870115953,-13.807492608926372,-13.807492608926372,41.327282811588525,-5.642661163801239,-5.642661163801239,4763077.7184015,1166700.3516417912,1123852.7674570254,139332.1902715734,23380433.180960797,10294163.112199375,5243924.568485911,4293810.149214549,46180766.26385471,32238083.05542401,13152956.347443296,7962717.368130611
2025-12-04,btcusdt,bybit,buy,04_>1m,1.0,1857012.0,1857012.0,1857012.0,0.0108228446430727,4.569327361445931,1.8723521234153773,1.8723521234153773,7.462504704680764,-2.1104547055834515,-2.1104547055834515,9.641618860306483,-0.616902144708694,-0.616902144708694,19.72558768750225,-18.193201846592807,-18.193201846592807,876125.6511917114,25686.418001174927,821057.149800092,19033.82680001855,1257055.134990692,3684388.8412952414,1188500.252000034,1733011.7002996206,3438441.98828125,9572858.307312012,1728339.5919008553,732805.8332998157
2025-12-04,btcusdt,bybit,sell,00_<1k,569.0,211791.8773,276.06780000000003,999.9902,0.0814918078344377,-6.991309448519877,0.8337931288106215,-0.8337931288106215,-14.503668435819804,0.5147762588315923,-0.5147762588315923,-26.65031583114615,-2.4916240574531705,2.4916240574531705,-36.72939371514114,-0.4744854691198539,0.4744854691198539,3479790.151454624,4071704.8803466135,-1408784.6951655347,-1764679.285266471,11301398.34492974,13806740.109999985,-6379200.353382955,-5341523.713524812,37835006.27008431,39216687.899387054,-17486267.225154307,-10554742.407668125
2025-12-04,btcusdt,bybit,sell,01_1k_10k,461.0,1673077.0287,2654.1177,9872.1196,0.0866697712448872,-7.767533822766016,0.7484489799430025,-0.7484489799430025,-16.383573060273456,0.7943771903539338,-0.7943771903539338,-28.04054599755304,-2.551989685757452,2.551989685757452,-39.56135354858598,-1.0570637999299135,1.0570637999299135,3931974.573515293,4349484.991069336,-1791184.214796939,-1994578.316398058,12337102.397947893,15439670.375960387,-7058657.02201306,-6305878.295456841,41906773.53111327,40434192.48628708,-19926849.27852235,-10523580.457272729
2025-12-04,btcusdt,bybit,sell,02_10k_100k,152.0,4158123.082,20954.8168,94869.61119999998,0.0913486250337979,-7.055043997065323,1.2619311351481075,-1.2619311351481075,-16.349485792697863,1.7826068858541126,-1.7826068858541126,-27.681767025805208,-0.6103954053053303,0.6103954053053303,-38.8930715810781,2.039808921685696,-2.039808921685696,3499842.1858413504,4784418.513363866,-1706161.2915447108,-2309175.028738861,11215490.393718723,14790938.118477348,-6128755.3132723225,-5677933.638460801,43131213.878092505,39450538.92333187,-19910722.938653324,-9906890.000177627
2025-12-04,btcusdt,bybit,sell,03_100k_1m,28.0,7414517.0028,196967.10975,922561.8984,0.0550156623335615,-6.457938763957666,-0.9710880124393196,0.9710880124393196,-17.607048748703296,-2.581224945450573,2.581224945450573,-27.97342762791917,-6.245626711406986,6.245626711406986,-41.20664181149784,-3.112052624374619,3.112052624374619,2699232.423818177,3552255.0112964725,-960788.4789072176,-1829431.580849845,9955648.586619304,19173608.056076743,-5063791.976317927,-9346389.059882138,46002074.66408588,52892378.68719479,-21334923.635472555,-15148550.393550169
2025-12-04,btcusdt,bybit,sell,04_>1m,1.0,1862429.656,1862429.656,1862429.656,0.0109851420467649,-3.44814522181997,-2.0102809944412887,2.0102809944412887,-4.6226069636654605,0.7909302273207172,-0.7909302273207172,-35.28020285843016,-3.1856911933763987,3.1856911933763987,-40.30614728920855,1.9663404262558275,-1.9663404262558275,370697.3351116181,1965294.020694733,-69379.61149954796,-632078.6786988378,2702398.819318772,5643695.118675232,127519.00390034914,-2127896.5310978293,23489245.10009384,76163470.44317245,-7130541.685500324,-27435703.45209706
2025-12-05,btcusdt,binance,buy,00_<1k,244.0,104026.11608,358.696,989.7238999999998,0.0177049067887051,3.0730547469115965,-0.1159971933440408,-0.1159971933440408,9.148859461983836,-1.135213270814996,-1.135213270814996,16.681459984459135,-1.5522313959878538,-1.5522313959878538,20.94319083797816,-3.8831408595038894,-3.8831408595038894,1116857.7360543814,865030.6018822843,263635.68105532805,126987.3648077303,5242354.510413128,3836165.015098877,1838466.5627475416,920648.2581290514,23433588.94176016,18940237.44833996,6861357.972303788,1971752.0784941912
2025-12-05,btcusdt,binance,buy,01_1k_10k,214.0,716657.7278,2507.94665,9927.05074,0.0199553089718486,3.222681025955465,-0.1308991672791722,-0.1308991672791722,9.015409845137688,0.1470720139408038,0.1470720139408038,16.81622108581141,-1.5223758598871262,-1.5223758598871262,23.98012341096163,-3.5329503758246874,-3.5329503758246874,1198507.5460492077,899667.7499038097,280391.759594859,287309.46251029486,6090690.428525887,4194432.85152237,2155231.0826724395,1044473.7958233232,26251662.643250164,22791790.1688941,6672117.411487367,3834667.8655138905
