variant,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
ret30_long_hybrid,120,90,0.02353928480346446,19.753929857029174,-0.2557025394146408,19.73039057222571,33022660.264200334,True,1047273,109731101,212967439616.37982,2972039423.77803,209995400192.60178
ret30_long_hybrid,300,90,0.08216980192713616,21.861233844650744,-0.22606664938843643,21.779064042723608,33022660.264200334,True,1047273,109731101,212967439616.37982,2972039423.77803,209995400192.60178
ret5_all,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
ret5_all,120,90,0.02353928480346446,43.92076157825351,-0.05719332894269819,43.89722229345005,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
ret5_all,300,90,0.08216980192713616,47.58293405065098,-0.0051901869829584415,47.50076424872384,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
sniper30_bybit300,30,90,-0.05125360145654897,7.818716765701466,-0.0600682375759025,7.869970367158015,2647377.291899,True,46415,110731959,212967439616.37982,238263956.27091,212729175660.1089
sniper30_bybit300,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
sniper30_bybit300,300,90,0.08216980192713616,31.68736117733403,-0.030942423697364867,31.605191375406893,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
sniper30_hybrid,30,90,-0.05125360145654897,7.818716765701466,-0.0600682375759025,7.869970367158015,2647377.291899,True,46415,110731959,212967439616.37982,238263956.27091,212729175660.1089
sniper30_hybrid,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
sniper30_hybrid,300,90,0.08216980192713616,12.225550822166916,-0.10364920576732761,12.14338102023978,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
sniper30_liq2_300,30,90,-0.05125360145654897,7.818716765701466,-0.0600682375759025,7.869970367158015,2647377.291899,True,46415,110731959,212967439616.37982,238263956.27091,212729175660.1089
sniper30_liq2_300,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
sniper30_liq2_300,300,90,0.08216980192713616,27.0388291077026,0.03235946375086938,26.956659305775464,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
