date,symbol,horizon_s,strategy,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count,split,all_weighted_pnl_sum,kept_weighted_pnl_sum,filtered_weighted_pnl_sum
2026-02-17,btcusdt,300,synthetic_maker_q95_30s_60s,-0.2008916728671629,-0.27360389245704186,2.1158105604034105,-0.07271221958987897,9532691575.8291,9242602444.4461,290089131.383,4415972,130490,validation,-1915038357.595019,-2528812005.233423,613773647.6384039
2026-02-17,ethusdt,30,synthetic_maker_q95_30s_60s,-0.2973102426202342,-0.3149794973961855,0.32397900376090216,-0.017669254775951326,8378675925.97901,8146978625.83642,231697300.14259,7417040,184739,validation,-2491066172.389135,-2566131232.863422,75065060.47428703
2026-02-17,ethusdt,120,synthetic_maker_q95_30s_60s,-0.2089613726749514,-0.060511698033469036,-5.428773280592026,0.14844967464148237,8378675925.97901,8146978625.83642,231697300.14259,7417040,184739,validation,-1750819622.6911435,-492987510.49174,-1257832112.1994035
2026-02-17,ethusdt,300,synthetic_maker_q95_30s_60s,0.1195787645654606,0.20502461461782992,-2.8848822870508957,0.08544585005236932,8378675925.97901,8146978625.83642,231697300.14259,7417040,184739,validation,1001911715.9229366,1670331153.0618095,-668419437.1388729
2026-02-18,btcusdt,30,synthetic_maker_q95_30s_60s,-0.2330937248144238,-0.26540013791549455,0.8565609312149195,-0.03230641310107074,10392995082.2044,10093733011.7804,299262070.424,4090300,118888,validation,-2422541935.689012,-2678878133.408698,256336197.71968627
2026-02-18,btcusdt,120,synthetic_maker_q95_30s_60s,-0.3378032775382905,-0.36180433339785034,0.47172213109096334,-0.02400105585955986,10392995082.2044,10093733011.7804,299262070.424,4090300,118888,validation,-3510787802.2079806,-3651956343.823084,141168541.61510324
2026-02-18,btcusdt,300,synthetic_maker_q95_30s_60s,-0.2076975272580049,-0.09625336747821171,-3.966568783296788,0.11144415977979318,10392995082.2044,10093733011.7804,299262070.424,4090300,118888,validation,-2158599379.378459,-971555792.8098555,-1187043586.5686035
2026-02-18,ethusdt,30,synthetic_maker_q95_30s_60s,-0.2385473253050399,-0.2445934848127322,0.03883409510951234,-0.0060461595076923,9242107841.84967,9044952511.32592,197155330.52375007,6989633,139328,validation,-2204680105.8539734,-2212336454.7108803,7656348.8569066515
2026-02-18,ethusdt,120,synthetic_maker_q95_30s_60s,-0.0198799771873974,-0.020429186685989274,0.005316266912805653,-0.0005492094985918745,9242107841.84967,9044952511.32592,197155330.52375007,6989633,139328,validation,-183732893.05943805,-184781023.41978472,1048130.3603466749
2026-02-18,ethusdt,300,synthetic_maker_q95_30s_60s,-0.0704884831328027,0.15006736740046858,-10.188993465315981,0.22055585053327129,9242107841.84967,9044952511.32592,197155330.52375007,6989633,139328,validation,-651462162.7217641,1357352211.6369379,-2008814374.358702
2026-02-19,btcusdt,30,synthetic_maker_q95_30s_60s,-0.1487804281131374,-0.18293390557505365,1.3679988206419242,-0.03415347746191624,9225344261.709,9022190648.4061,203153613.30290008,4013038,85077,validation,-1372550668.7481406,-1650464572.1556535,277913903.40751284
2026-02-19,btcusdt,120,synthetic_maker_q95_30s_60s,-0.1256246893565337,-0.1649134997257312,1.6192181994158215,-0.039288810369197485,9225344261.709,9022190648.4061,203153613.30290008,4013038,85077,validation,-1158931007.0842738,-1487881035.0214138,328950027.9371399
2026-02-19,btcusdt,300,synthetic_maker_q95_30s_60s,-0.2067727126807326,-0.1761810606933899,-1.5653688606506853,0.030591651987342705,9225344261.709,9022190648.4061,203153613.30290008,4013038,85077,validation,-1907549458.4072003,-1589539118.2141697,-318010340.1930306
2026-02-19,ethusdt,30,synthetic_maker_q95_30s_60s,-0.208592809692821,-0.21740861668430575,0.20688295731870093,-0.008815806991484737,7766193325.204,7604829617.77136,161363707.43264002,6706303,129292,validation,-1619972086.321935,-1653355487.319509,33383400.99757421
2026-02-19,ethusdt,120,synthetic_maker_q95_30s_60s,-0.2197771003883337,-0.19093884385604798,-1.5788808969664092,0.028838256532285722,7766193325.204,7604829617.77136,161363707.43264002,6706303,129292,validation,-1706831450.0685668,-1452057374.9394948,-254774075.1290719
2026-02-19,ethusdt,300,synthetic_maker_q95_30s_60s,-0.4151057624063433,-0.21224352704392907,-9.975698787671295,0.2028622353624142,7766193325.204,7604829617.77136,161363707.43264002,6706303,129292,validation,-3223791601.253861,-1614075860.6439285,-1609715740.6099324
2026-02-20,btcusdt,30,synthetic_maker_q95_30s_60s,-0.2460750954306874,-0.2002241279699251,-1.9121949537364828,0.04585096746076231,14131968246.2703,13753477908.4305,378490337.8398001,4800379,124279,validation,-3477525434.824408,-2753778120.769126,-723747314.0552824
2026-02-20,btcusdt,120,synthetic_maker_q95_30s_60s,-0.2934317676002468,-0.17332250492746037,-4.6579291552911215,0.12010926267278643,14131968246.2703,13753477908.4305,378490337.8398001,4800379,124279,validation,-4146768422.173654,-2383787242.553663,-1762981179.6199913
2026-02-20,btcusdt,300,synthetic_maker_q95_30s_60s,-0.4382917948131506,-0.07753907378410774,-13.547225056880151,0.3607527210290429,14131968246.2703,13753477908.4305,378490337.8398001,4800379,124279,validation,-6193925726.900262,-1066431938.3298883,-5127493788.570374
2026-02-20,ethusdt,30,synthetic_maker_q95_30s_60s,-0.2378377073289172,-0.1488560537599167,-3.4546819530224417,0.08898165356900051,8622461383.98692,8390373882.962389,232087501.02452993,6676794,152986,validation,-2050746447.0995715,-1248957945.7880504,-801788501.311521
2026-02-20,ethusdt,120,synthetic_maker_q95_30s_60s,0.0543268817657185,0.3569304889729376,-10.885329030739934,0.3026036072072191,8622461383.98692,8390373882.962389,232087501.02452993,6676794,152986,validation,468431440.1373309,2994780252.7115307,-2526348812.5741997
2026-02-20,ethusdt,300,synthetic_maker_q95_30s_60s,0.6596795972012997,1.205075980435377,-19.057364834526584,0.5453963832340774,8622461383.98692,8390373882.962389,232087501.02452993,6676794,152986,validation,5688061852.672252,10111038033.230282,-4422976180.558029
2026-02-21,btcusdt,30,synthetic_maker_q95_30s_60s,0.0856181295961827,0.08702467218415821,-0.09021153486460863,0.0014065425879755122,5310957584.347099,5268809943.355999,42147640.99109998,1789257,15852,validation,454714254.7364594,458516458.121189,-3802203.384729624
2026-02-21,btcusdt,120,synthetic_maker_q95_30s_60s,0.1589515046217602,0.1641159275435578,-0.48664483724251456,0.005164422921797612,5310957584.347099,5268809943.355999,42147640.99109998,1789257,15852,validation,844184699.0143203,864695630.90459,-20510931.890269786
2026-02-21,btcusdt,300,synthetic_maker_q95_30s_60s,0.1487439947194638,0.16377389446928342,-1.7301200030595654,0.015029899749819609,5310957584.347099,5268809943.355999,42147640.99109998,1789257,15852,validation,789973046.8814212,862893523.6418965,-72920476.76047537
2026-02-21,ethusdt,30,synthetic_maker_q95_30s_60s,0.0630846144801256,0.07709809107976098,-1.3782302301669405,0.01401347659963538,3621331786.57508,3586461683.71938,34870102.8557,2682368,22086,validation,228450319.6607134,276509349.5454697,-48059029.8847563
2026-02-21,ethusdt,120,synthetic_maker_q95_30s_60s,0.1771883847979841,0.2091683026307737,-3.112011834381915,0.03197991783278961,3621331786.57508,3586461683.71938,34870102.8557,2682368,22086,validation,641657930.0808365,750174102.8338895,-108516172.75305301
2026-02-21,ethusdt,300,synthetic_maker_q95_30s_60s,0.1585370309917901,0.18915487644361587,-2.990571246819466,0.030617845451825776,3621331786.57508,3586461683.71938,34870102.8557,2682368,22086,validation,574115189.679808,678396716.6537018,-104281526.97389376
