strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
guard_q95w30_ret10s_lt-100,train,300,7,-0.08505801517955065,-0.08566921832330164,1.9416443084966217,-0.0006112031437509879,27973609055.44466,True,83968393,16847,195874316413.89697,195815263388.1126,59053025.78435
guard_q95w30_ret10s_lt-20,train,30,7,0.030236575191214074,0.07566760843844339,-4.153544797302305,0.045431033247229316,27681456557.118153,True,83296995,688245,195874316413.89697,193770195899.82706,2104120514.06991
guard_q95w30_ret10s_lt-20,train,120,7,-0.00946338082190134,-0.015295885918118085,0.5276568304604023,-0.005832505096216745,27681456557.118153,True,83296995,688245,195874316413.89697,193770195899.82706,2104120514.06991
guard_q95w30_ret10s_lt-20,train,300,7,-0.08505801517955065,-0.12269915768037885,3.3813458849330194,-0.0376411425008282,27681456557.118153,True,83296995,688245,195874316413.89697,193770195899.82706,2104120514.06991
guard_q95w30_ret10s_lt-50,train,30,7,0.030236575191214074,0.04318109197689038,-7.59073089382025,0.012944516785676305,27934597176.059837,True,83884043,101197,195874316413.89697,195542180232.41885,332136181.47809994
guard_q95w30_ret10s_lt-50,train,120,7,-0.00946338082190134,-0.0010933410933466137,-4.937248754489399,0.008370039728554726,27934597176.059837,True,83884043,101197,195874316413.89697,195542180232.41885,332136181.47809994
guard_q95w30_ret10s_lt-50,train,300,7,-0.08505801517955065,-0.10168989145094072,9.706809082798411,-0.016631876271390067,27934597176.059837,True,83884043,101197,195874316413.89697,195542180232.41885,332136181.47809994
guard_q95w30_ret10s_lt0,train,30,7,0.030236575191214074,0.07710894269000733,-0.8345091151559415,0.046872367498793255,26543301536.49183,True,80484762,3500478,195874316413.89697,185803110755.4428,10071205658.45413
guard_q95w30_ret10s_lt0,train,120,7,-0.00946338082190134,-0.07326581890701321,1.1676242362941354,-0.06380243808511186,26543301536.49183,True,80484762,3500478,195874316413.89697,185803110755.4428,10071205658.45413
guard_q95w30_ret10s_lt0,train,300,7,-0.08505801517955065,-0.21695901769967058,2.3483762141599334,-0.13190100252011994,26543301536.49183,True,80484762,3500478,195874316413.89697,185803110755.4428,10071205658.45413
guard_q95w30_ret10s_lt100,train,30,7,0.030236575191214074,0.020545661576461243,0.14561951264818143,-0.009690913614752831,25813953466.638836,True,78356258,5628982,195874316413.89697,180697674266.47186,15176642147.42511
guard_q95w30_ret10s_lt100,train,120,7,-0.00946338082190134,-0.15399171120665758,1.7113344684291314,-0.14452833038475624,25813953466.638836,True,78356258,5628982,195874316413.89697,180697674266.47186,15176642147.42511
guard_q95w30_ret10s_lt100,train,300,7,-0.08505801517955065,-0.31620561790144347,2.6670549896858122,-0.23114760272189283,25813953466.638836,True,78356258,5628982,195874316413.89697,180697674266.47186,15176642147.42511
guard_q95w30_ret10s_lt20,train,30,7,0.030236575191214074,0.03685886297775824,-0.05042360648895985,0.006622287786544168,25858993948.78611,True,78506243,5478997,195874316413.89697,181012957641.50278,14861358772.39417
guard_q95w30_ret10s_lt20,train,120,7,-0.00946338082190134,-0.14473263224880328,1.6381307358223176,-0.13526925142690194,25858993948.78611,True,78506243,5478997,195874316413.89697,181012957641.50278,14861358772.39417
guard_q95w30_ret10s_lt20,train,300,7,-0.08505801517955065,-0.3015539536623669,2.551885937411274,-0.21649593848281629,25858993948.78611,True,78506243,5478997,195874316413.89697,181012957641.50278,14861358772.39417
guard_q95w30_ret10s_lt50,train,30,7,0.030236575191214074,0.021868387015583468,0.1299876090646577,-0.008368188175630606,25816296916.422035,True,78363052,5622188,195874316413.89697,180714078414.95425,15160237998.94269
guard_q95w30_ret10s_lt50,train,120,7,-0.00946338082190134,-0.15658087560397768,1.744216376060144,-0.14711749478207634,25816296916.422035,True,78363052,5622188,195874316413.89697,180714078414.95425,15160237998.94269
guard_q95w30_ret10s_lt50,train,300,7,-0.08505801517955065,-0.3158159102184389,2.6656376099046857,-0.23075789503888827,25816296916.422035,True,78363052,5622188,195874316413.89697,180714078414.95425,15160237998.94269
guard_q95w30_ret1s_gt-100,train,30,7,0.030236575191214074,0.018137926935411983,0.174297619567649,-0.012098648255802091,25814104700.372852,True,78356583,5628657,195874316413.89697,180698732902.60995,15175583511.28701
guard_q95w30_ret1s_gt-100,train,120,7,-0.00946338082190134,-0.15559381458421123,1.7305411600063783,-0.14613043376230989,25814104700.372852,True,78356583,5628657,195874316413.89697,180698732902.60995,15175583511.28701
guard_q95w30_ret1s_gt-100,train,300,7,-0.08505801517955065,-0.3176971299160103,2.6850228337839988,-0.23263911473645965,25814104700.372852,True,78356583,5628657,195874316413.89697,180698732902.60995,15175583511.28701
guard_q95w30_ret1s_gt-20,train,30,7,0.030236575191214074,0.010402344523939473,0.2683979951312935,-0.0198342306672746,25830837079.787346,True,78381161,5604079,195874316413.89697,180815859558.5114,15058456855.38556
guard_q95w30_ret1s_gt-20,train,120,7,-0.00946338082190134,-0.16138194894982724,1.8147133421153487,-0.1519185681279259,25830837079.787346,True,78381161,5604079,195874316413.89697,180815859558.5114,15058456855.38556
guard_q95w30_ret1s_gt-20,train,300,7,-0.08505801517955065,-0.3145348672953344,2.670407213600324,-0.22947685211578378,25830837079.787346,True,78381161,5604079,195874316413.89697,180815859558.5114,15058456855.38556
guard_q95w30_ret1s_gt-50,train,30,7,0.030236575191214074,0.017182690667870777,0.1857060344320971,-0.013053884523343297,25814544969.467182,True,78357191,5628049,195874316413.89697,180701814786.27026,15172501627.626709
guard_q95w30_ret1s_gt-50,train,120,7,-0.00946338082190134,-0.15621809083104823,1.7383592971997028,-0.1467547100091469,25814544969.467182,True,78357191,5628049,195874316413.89697,180701814786.27026,15172501627.626709
guard_q95w30_ret1s_gt-50,train,300,7,-0.08505801517955065,-0.31743769952216205,2.68254298502142,-0.23237968434261141,25814544969.467182,True,78357191,5628049,195874316413.89697,180701814786.27026,15172501627.626709
guard_q95w30_ret1s_gt0,train,30,7,0.030236575191214074,0.012837268696269,0.5095315083152817,-0.017399306494945074,27001828114.712032,True,81036620,2948620,195874316413.89697,189012796802.98422,6861519610.91273
guard_q95w30_ret1s_gt0,train,120,7,-0.00946338082190134,-0.09916353584775804,2.4614873905106798,-0.0897001550258567,27001828114.712032,True,81036620,2948620,195874316413.89697,189012796802.98422,6861519610.91273
guard_q95w30_ret1s_gt0,train,300,7,-0.08505801517955065,-0.21965648369257074,3.6226968877697345,-0.1345984685130201,27001828114.712032,True,81036620,2948620,195874316413.89697,189012796802.98422,6861519610.91273
guard_q95w30_ret1s_gt100,train,30,7,0.030236575191214074,0.030236575191214074,,0.0,27982045201.985283,True,83985240,0,195874316413.89697,195874316413.89697,0.0
guard_q95w30_ret1s_gt100,train,120,7,-0.00946338082190134,-0.00946338082190134,,0.0,27982045201.985283,True,83985240,0,195874316413.89697,195874316413.89697,0.0
