strategy,date,symbol,horizon_s,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
task3_maker_q95_win30,2025-12-26,btcusdt,120,-0.2582303208291458,-0.6048669920231404,4.393072349916248,-0.3466366711939946,12087820359.9366,11249458482.1925,838361877.7441001,3392588,214374
task3_maker_q95_win30,2025-12-26,btcusdt,300,-0.2868594411813662,-1.9023963921135705,21.39102971196434,-1.6155369509322042,12087820359.9366,11249458482.1925,838361877.7441001,3392588,214374
task3_maker_q95_win60,2025-12-26,btcusdt,30,-0.0949292027908492,-0.2559576899115887,1.3496030361192703,-0.1610284871207394,12087820359.9366,10875481646.3709,1212338713.5657,3289101,317861
task3_maker_q95_win60,2025-12-26,btcusdt,120,-0.2582303208291458,-0.6744818963015854,3.475822150372551,-0.4162515754724395,12087820359.9366,10875481646.3709,1212338713.5657,3289101,317861
task3_maker_q95_win60,2025-12-26,btcusdt,300,-0.2868594411813662,-2.439673088966395,19.0253055936887,-2.152813647785029,12087820359.9366,10875481646.3709,1212338713.5657,3289101,317861
task3_maker_q99_win30,2025-12-26,btcusdt,30,-0.0949292027908492,-0.1613911664423741,2.008068578084936,-0.0664619636515248,12087820359.9366,11717506838.602598,370313521.334,3514854,92108
task3_maker_q99_win30,2025-12-26,btcusdt,120,-0.2582303208291458,-0.5783646160835492,9.871499159211536,-0.3201342952544033,12087820359.9366,11717506838.602598,370313521.334,3514854,92108
task3_maker_q99_win30,2025-12-26,btcusdt,300,-0.2868594411813662,-1.2901321414130102,31.458821039506574,-1.0032727002316442,12087820359.9366,11717506838.602598,370313521.334,3514854,92108
task3_maker_q99_win60,2025-12-26,btcusdt,30,-0.0949292027908492,-0.2601824202634361,2.9744591347051994,-0.1652532174725868,12087820359.9366,11470270881.0332,617549478.9034,3447812,159150
task3_maker_q99_win60,2025-12-26,btcusdt,120,-0.2582303208291458,-0.6196279672840188,6.454315057666257,-0.361397646454873,12087820359.9366,11470270881.0332,617549478.9034,3447812,159150
task3_maker_q99_win60,2025-12-26,btcusdt,300,-0.2868594411813662,-1.963061615213238,30.8466669309295,-1.676202174031872,12087820359.9366,11470270881.0332,617549478.9034,3447812,159150
no_filter,2025-12-26,ethusdt,30,0.1123307795996819,0.1123307795996819,,0.0,9878474588.76572,9878474588.76572,0.0,5553722,0
no_filter,2025-12-26,ethusdt,120,-0.0157024114357481,-0.0157024114357481,,0.0,9878474588.76572,9878474588.76572,0.0,5553722,0
no_filter,2025-12-26,ethusdt,300,0.2766127215833679,0.2766127215833679,,0.0,9878474588.76572,9878474588.76572,0.0,5553722,0
task3_maker_q90_win30,2025-12-26,ethusdt,30,0.1123307795996819,0.09623339183724,0.2853715674875504,-0.0160973877624418,9878474588.76572,9037726096.77016,840748491.9955599,5150832,402890
task3_maker_q90_win30,2025-12-26,ethusdt,120,-0.0157024114357481,-0.2062716509686446,2.032844336807716,-0.1905692395328964,9878474588.76572,9037726096.77016,840748491.9955599,5150832,402890
task3_maker_q90_win30,2025-12-26,ethusdt,300,0.2766127215833679,-0.930386569650384,13.251395426544764,-1.206999291233752,9878474588.76572,9037726096.77016,840748491.9955599,5150832,402890
task3_maker_q90_win60,2025-12-26,ethusdt,30,0.1123307795996819,0.0013592509693714,0.9024070580175751,-0.1109715286303105,9878474588.76572,8661858314.8277,1216616273.93802,4954288,599434
task3_maker_q90_win60,2025-12-26,ethusdt,120,-0.0157024114357481,-0.1899684019633269,1.2250070475599415,-0.1742659905275788,9878474588.76572,8661858314.8277,1216616273.93802,4954288,599434
task3_maker_q90_win60,2025-12-26,ethusdt,300,0.2766127215833679,-1.5312932540939033,13.148235223523235,-1.8079059756772715,9878474588.76572,8661858314.8277,1216616273.93802,4954288,599434
task3_maker_q95_win30,2025-12-26,ethusdt,30,0.1123307795996819,0.1811171528056306,-1.0163148619183902,0.0687863732059486,9878474588.76572,9311006514.24215,567468074.5235701,5299928,253794
task3_maker_q95_win30,2025-12-26,ethusdt,120,-0.0157024114357481,-0.0957468679867362,1.2976656701095444,-0.0800444565509881,9878474588.76572,9311006514.24215,567468074.5235701,5299928,253794
task3_maker_q95_win30,2025-12-26,ethusdt,300,0.2766127215833679,-0.6557817384081507,15.575325161244557,-0.9323944599915186,9878474588.76572,9311006514.24215,567468074.5235701,5299928,253794
task3_maker_q95_win60,2025-12-26,ethusdt,30,0.1123307795996819,0.1409635681367636,-0.1961084897455873,0.0286327885370816,9878474588.76572,9039341627.861,839132960.90472,5155964,397758
task3_maker_q95_win60,2025-12-26,ethusdt,120,-0.0157024114357481,0.0381243204112886,-0.5955368840943422,0.0538267318470368,9878474588.76572,9039341627.861,839132960.90472,5155964,397758
task3_maker_q95_win60,2025-12-26,ethusdt,300,0.2766127215833679,-1.2660914729708932,16.8949925195538,-1.5427041945542612,9878474588.76572,9039341627.861,839132960.90472,5155964,397758
task3_maker_q99_win30,2025-12-26,ethusdt,30,0.1123307795996819,0.1883461390329213,-3.162426316008605,0.0760153594332394,9878474588.76572,9654372293.968792,224102294.79693,5462284,91438
task3_maker_q99_win30,2025-12-26,ethusdt,120,-0.0157024114357481,-0.0437493520829563,1.1925654778348906,-0.0280469406472082,9878474588.76572,9654372293.968792,224102294.79693,5462284,91438
task3_maker_q99_win30,2025-12-26,ethusdt,300,0.2766127215833679,0.0175948658387965,11.43515445989783,-0.2590178557445715,9878474588.76572,9654372293.968792,224102294.79693,5462284,91438
task3_maker_q99_win60,2025-12-26,ethusdt,30,0.1123307795996819,0.1157747417439782,0.0134128881706653,0.0034439621442962,9878474588.76572,9546113544.69049,332361044.07523,5402239,151483
task3_maker_q99_win60,2025-12-26,ethusdt,120,-0.0157024114357481,0.0457082366843056,-1.7795463704599417,0.0614106481200537,9878474588.76572,9546113544.69049,332361044.07523,5402239,151483
task3_maker_q99_win60,2025-12-26,ethusdt,300,0.2766127215833679,-0.1994798112316782,13.950999227009651,-0.4760925328150461,9878474588.76572,9546113544.69049,332361044.07523,5402239,151483
no_filter,2025-12-27,btcusdt,30,-0.1409882299761708,-0.1409882299761708,,0.0,2257770615.0788,2257770615.0788,0.0,702865,0
no_filter,2025-12-27,btcusdt,120,0.0633279195031781,0.0633279195031781,,0.0,2257770615.0788,2257770615.0788,0.0,702865,0
no_filter,2025-12-27,btcusdt,300,0.3298226179014301,0.3298226179014301,,0.0,2257770615.0788,2257770615.0788,0.0,702865,0
task3_maker_q90_win30,2025-12-27,btcusdt,30,-0.1409882299761708,-0.0926042677136652,-1.8050300027898172,0.0483839622625056,2257770615.0788,2193978132.8708,63792482.208,687840,15025
task3_maker_q90_win30,2025-12-27,btcusdt,120,0.0633279195031781,0.144820732526595,-2.739407505911624,0.0814928130234168,2257770615.0788,2193978132.8708,63792482.208,687840,15025
task3_maker_q90_win30,2025-12-27,btcusdt,300,0.3298226179014301,0.5940568449991036,-8.757833108020636,0.2642342270976735,2257770615.0788,2193978132.8708,63792482.208,687840,15025
task3_maker_q90_win60,2025-12-27,btcusdt,30,-0.1409882299761708,-0.0895344348872884,-1.4516597727136953,0.0514537950888823,2257770615.0788,2172484141.5364,85286473.5424,682095,20770
task3_maker_q90_win60,2025-12-27,btcusdt,120,0.0633279195031781,0.1753369747621537,-2.7898548438528854,0.1120090552589755,2257770615.0788,2172484141.5364,85286473.5424,682095,20770
task3_maker_q90_win60,2025-12-27,btcusdt,300,0.3298226179014301,0.6713007402115287,-8.368576724773984,0.3414781223100986,2257770615.0788,2172484141.5364,85286473.5424,682095,20770
task3_maker_q95_win30,2025-12-27,btcusdt,30,-0.1409882299761708,-0.1084893496208481,-1.7840164970079369,0.0324988803553226,2257770615.0788,2213978416.7825,43792198.2963,692648,10217
task3_maker_q95_win30,2025-12-27,btcusdt,120,0.0633279195031781,0.0953443639646141,-1.5553100977101189,0.0320164444614359,2257770615.0788,2213978416.7825,43792198.2963,692648,10217
task3_maker_q95_win30,2025-12-27,btcusdt,300,0.3298226179014301,0.4954523250341183,-8.043828649583823,0.1656297071326882,2257770615.0788,2213978416.7825,43792198.2963,692648,10217
task3_maker_q95_win60,2025-12-27,btcusdt,30,-0.1409882299761708,-0.091385524520553,-1.8108212887012944,0.0496027054556177,2257770615.0788,2192637893.5552,65132721.523600005,687254,15611
task3_maker_q95_win60,2025-12-27,btcusdt,120,0.0633279195031781,0.1363733821352004,-2.395685700267176,0.0730454626320222,2257770615.0788,2192637893.5552,65132721.523600005,687254,15611
