threshold_label,threshold,relation,bin_start_s,bin_end_s,large_liq_count,trade_count,weight_sum,weighted_pnl_sum,avg_markout_bps
q95,38929.53,same_direction,180,190,18094,24688086,69250620804.74635,-204667885123.48294,-2.955466431132055
q95,38929.53,same_direction,190,200,18094,24253441,66019169220.76389,10013805511.457405,0.15168027149768998
q95,38929.53,same_direction,200,210,18094,24257999,68241745088.21438,264762355177.5157,3.8797711699087425
q95,38929.53,same_direction,210,220,18094,23705885,64666892161.54094,468981322776.67444,7.252263207657127
q95,38929.53,same_direction,220,230,18094,23479966,62561432778.34844,475710423289.45233,7.603892720533863
q95,38929.53,same_direction,230,240,18094,22340800,59010383370.10906,417511231780.3231,7.075216393049362
q95,38929.53,same_direction,240,250,18094,22006044,56884324841.51034,292546161719.9912,5.142825594486283
q95,38929.53,same_direction,250,260,18094,21454152,53697886230.50951,238707114145.22977,4.44537263758445
q95,38929.53,same_direction,260,270,18094,21462368,52907335261.67923,116544262818.50291,2.202799710892185
q95,38929.53,same_direction,270,280,18094,21474540,52725684723.70822,15496953683.965824,0.2939165942589947
q95,38929.53,same_direction,280,290,18094,21966377,56793602302.21771,-74795487721.41388,-1.3169703045670906
q95,38929.53,same_direction,290,300,18094,21430084,54619870907.11951,-130628872077.1564,-2.391599795233668
q99,196940.36,opposite_direction,0,10,3619,13213430,45905481634.953224,-232754970959.28384,-5.070308875314363
q99,196940.36,opposite_direction,10,20,3619,9912180,32082539370.14929,-211792479001.43307,-6.601487387201407
q99,196940.36,opposite_direction,20,30,3619,8586436,26522191498.85897,-365453103026.2946,-13.77914427026202
q99,196940.36,opposite_direction,30,40,3619,7919484,23713884758.13439,-382064463669.6699,-16.111424491030018
q99,196940.36,opposite_direction,40,50,3619,7636714,22135822156.022743,-342851279422.0183,-15.48852701315794
q99,196940.36,opposite_direction,50,60,3619,7246560,20400850074.843945,-168501587532.48532,-8.259537564087228
q99,196940.36,opposite_direction,60,70,3619,6795099,18794027069.390625,-123756749054.1527,-6.584897882567824
q99,196940.36,opposite_direction,70,80,3619,6553354,17943056191.974785,-59995216661.10707,-3.343645364491504
q99,196940.36,opposite_direction,80,90,3619,6398150,17452797667.668842,-42956662889.798386,-2.461305270809117
q99,196940.36,opposite_direction,90,100,3619,6340148,17167127880.36669,-86720586840.67873,-5.051548951287149
q99,196940.36,opposite_direction,100,110,3619,6253612,16635521049.303991,-82907021332.73294,-4.983734569360042
q99,196940.36,opposite_direction,110,120,3619,6034837,16020916671.1885,-100298608141.15591,-6.260478735372845
q99,196940.36,opposite_direction,120,130,3619,5911266,15540277420.715763,-72196990872.88925,-4.645798071574192
q99,196940.36,opposite_direction,130,140,3619,5828984,15611755522.85093,-62599931139.11489,-4.009794481311686
